,GEOID,Median Income
887,15000US060014429003,88153.0
888,15000US060014429004,155962.0
889,15000US060014430011,100121.0
890,15000US060014430021,57852.0
891,15000US060014430022,85726.0
892,15000US060014430023,94688.0
893,15000US060014431021,208786.0
894,15000US060014431022,142639.0
895,15000US060014431023,153500.0
896,15000US060014431024,137955.0
897,15000US060014431031,210769.0
898,15000US060014431032,220000.0
899,15000US060014431041,140000.0
900,15000US060014431042,121667.0
901,15000US060014431043,124836.0
902,15000US060014431051,145703.0
903,15000US060014431052,162208.0
904,15000US060014432001,189706.0
905,15000US060014432002,250001.0
906,15000US060014433011,141111.0
907,15000US060014433012,147852.0
908,15000US060014433211,122361.0
909,15000US060014433212,113620.0
910,15000US060014433221,156250.0
911,15000US060014433222,136484.0
912,15000US060014441001,108542.0
913,15000US060014441002,152961.0
914,15000US060014441003,79688.0
915,15000US060014441004,
916,15000US060014442001,78068.0
917,15000US060014442002,99583.0
918,15000US060014442003,86366.0
919,15000US060014443011,91900.0
920,15000US060014443012,119286.0
921,15000US060014443021,44009.0
922,15000US060014443022,101094.0
923,15000US060014444001,80474.0
924,15000US060014444002,96034.0
925,15000US060014444003,74091.0
926,15000US060014445001,94167.0
927,15000US060014445002,122375.0
928,15000US060014445003,70109.0
929,15000US060014445004,88106.0
930,15000US060014446011,94083.0
931,15000US060014446012,105767.0
932,15000US060014446021,104875.0
933,15000US060014446022,86219.0
934,15000US060014501011,128731.0
935,15000US060014501021,132649.0
