,Median Income
1801,67281.0
1802,85625.0
1803,100600.0
1804,106953.0
1805,123333.0
1806,102839.0
1807,125893.0
1808,94500.0
1809,85461.0
1810,66172.0
1811,113716.0
1812,117217.0
1813,90179.0
1814,63571.0
1815,70368.0
1816,75694.0
1817,68934.0
1818,69274.0
1819,73590.0
1820,70227.0
1821,70000.0
1822,71335.0
1823,69250.0
1824,65699.0
1825,80234.0
1826,76773.0
1827,52321.0
1828,85153.0
1829,80500.0
1830,57955.0
1831,42131.0
1832,23716.0
1833,83207.0
1834,50283.0
1835,56936.0
1836,46940.0
1837,53125.0
1838,63373.0
1839,55878.0
1840,62019.0
1841,52917.0
1842,71152.0
1843,79333.0
1844,35863.0
1845,65865.0
1846,56316.0
1847,32246.0
1848,47991.0
1849,39150.0
1850,37422.0
1851,48438.0
1852,58077.0
1853,47000.0
1854,43462.0
1855,42528.0
1856,43036.0
1857,41444.0
1858,30227.0
1859,50481.0
1860,107885.0
1861,42204.0
1862,86029.0
1863,84760.0
1864,112083.0
1865,72188.0
1866,73967.0
1867,78587.0
1868,60463.0
1869,41010.0
1870,73224.0
1871,45949.0
1872,54444.0
1873,86031.0
1874,82630.0
1875,37899.0
1876,40732.0
1877,39260.0
1878,66607.0
1879,47958.0
1880,28702.0
1881,70156.0
1882,39047.0
1883,12056.0
1884,44740.0
1885,51136.0
1886,45192.0
1887,55903.0
1888,39375.0
1889,40250.0
1890,
1891,36875.0
1892,40521.0
1893,26845.0
1894,34566.0
